employee_id,login_attempts,network_traffic_mb,data_transfer_gb,hour_of_day,attack_type,status,severity
E008,0,0.3359375,0.0007896423339843,22,normal.,NORMAL,-
E029,0,0.3349609375,0.0011234283447265,11,normal.,NORMAL,-
E005,0,0.3232421875,0.0006294250488281,9,normal.,NORMAL,-
E006,0,0.9794921875,0.0003118515014648,21,normal.,NORMAL,-
E008,0,0.1025390625,0.0,20,normal.,NORMAL,-
E039,0,0.287109375,0.0011548995971679,20,normal.,NORMAL,-
E009,0,0.2099609375,0.001500129699707,18,normal.,NORMAL,-
E022,0,0.2509765625,0.0027370452880859,20,normal.,NORMAL,-
E014,0,0.22265625,0.000288963317871,2,normal.,NORMAL,-
E021,0,0.1943359375,0.0062265396118164,17,normal.,NORMAL,-
E020,0,0.203125,0.003692626953125,14,normal.,NORMAL,-
E000,0,0.27734375,0.0208816528320312,11,normal.,NORMAL,-
E037,0,0.0439453125,0.0001087188720703,17,normal.,NORMAL,-
E024,0,0.220703125,0.0129690170288085,11,normal.,NORMAL,-
E028,0,0.1982421875,0.000162124633789,9,normal.,NORMAL,-
E048,0,0.09765625,3.4332275390625e-05,15,normal.,NORMAL,-
E033,0,0.2119140625,0.0019254684448242,15,normal.,NORMAL,-
E008,0,0.1435546875,0.0001001358032226,3,normal.,NORMAL,-
E033,0,0.0,0.0,19,neptune.,NORMAL,-
E016,0,0.1025390625,0.0001401901245117,12,normal.,NORMAL,-
E032,0,0.328125,0.0006399154663085,6,normal.,NORMAL,-
E015,0,0.1025390625,0.0001382827758789,0,normal.,NORMAL,-
E006,0,0.0,0.0,16,normal.,NORMAL,-
E023,0,0.30078125,0.0053367614746093,8,normal.,NORMAL,-
E027,0,0.208984375,0.0034904479980468,5,normal.,NORMAL,-
E040,0,0.2314453125,0.0013580322265625,2,normal.,NORMAL,-
E009,0,0.1591796875,0.0174283981323242,18,normal.,NORMAL,-
E029,0,0.3154296875,0.0017995834350585,15,normal.,NORMAL,-
E017,0,0.1025390625,0.0001401901245117,15,normal.,NORMAL,-
E042,0,0.1025390625,0.0001382827758789,13,normal.,NORMAL,-
E038,0,0.0439453125,0.000105857849121,22,normal.,NORMAL,-
E029,0,0.1923828125,0.001225471496582,2,normal.,NORMAL,-
E015,0,1.294921875,0.0003156661987304,9,normal.,NORMAL,-
E043,0,1.0078125,0.0,7,smurf.,NORMAL,-
E020,0,0.0,0.0,2,normal.,NORMAL,-
E030,0,0.0,0.0,17,normal.,NORMAL,-
E040,0,0.21484375,0.001173973083496,14,normal.,NORMAL,-
E032,0,0.0,0.0,5,neptune.,NORMAL,-
E046,0,0.2939453125,0.0031156539916992,21,normal.,NORMAL,-
E036,0,0.2880859375,0.0002508163452148,2,normal.,NORMAL,-
E048,0,0.3349609375,0.0003871917724609,23,normal.,NORMAL,-
E011,0,0.2470703125,0.0016469955444335,18,normal.,NORMAL,-
E041,0,0.0,0.0,6,normal.,NORMAL,-
E006,0,0.2138671875,0.0005836486816406,2,normal.,NORMAL,-
E008,0,0.1435546875,0.0001001358032226,7,normal.,NORMAL,-
E033,0,2.4658203125,0.0003824234008789,8,normal.,NORMAL,-
E001,0,0.2998046875,0.0084199905395507,9,normal.,NORMAL,-
E003,0,0.2099609375,0.0003213882446289,2,normal.,NORMAL,-
E004,0,0.39453125,0.0033693313598632,9,normal.,NORMAL,-
