employee_id,src_ip,dst_ip,protocol,network_traffic_mb,data_transfer_gb,hour_of_day,status,severity,country,country_code,city,flag,timestamp
192.168.31.51,192.168.31.51,184.85.220.140,UDP,0.0693359375,6.771087646484375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:16
184.85.220.140,184.85.220.140,192.168.31.51,UDP,0.06640625,6.4849853515625e-05,12,NORMAL,LOW,India,IN,New Delhi,🇮🇳,12:58:17
192.168.31.51,192.168.31.51,104.18.32.47,TCP,0.0537109375,5.245208740234375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:18
160.79.104.10,160.79.104.10,192.168.31.51,UDP,0.0791015625,7.724761962890625e-05,12,NORMAL,LOW,United States,US,San Francisco,🇺🇸,12:58:19
192.168.31.51,192.168.31.51,160.79.104.10,UDP,0.0849609375,8.296966552734375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:19
192.168.31.51,192.168.31.51,20.192.44.82,TCP,0.0830078125,8.106231689453125e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:19
104.18.32.47,104.18.32.47,192.168.31.51,TCP,0.064453125,6.29425048828125e-05,12,NORMAL,LOW,Canada,CA,Toronto,🇨🇦,12:58:20
20.192.44.82,20.192.44.82,192.168.31.51,TCP,0.052734375,5.14984130859375e-05,12,NORMAL,LOW,India,IN,Pune,🇮🇳,12:58:21
192.168.31.51,192.168.31.51,192.168.31.1,UDP,0.068359375,6.67572021484375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:21
192.168.31.51,192.168.31.51,192.168.31.1,UDP,0.068359375,6.67572021484375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:21
192.168.31.1,192.168.31.1,192.168.31.51,UDP,0.083984375,8.20159912109375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:21
192.168.31.1,192.168.31.1,192.168.31.51,UDP,0.083984375,8.20159912109375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:22
192.168.31.51,192.168.31.51,208.95.112.1,TCP,0.064453125,6.29425048828125e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:22
192.168.31.1,192.168.31.1,224.0.0.1,OTHER,0.048828125,4.76837158203125e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:22
192.168.31.51,192.168.31.51,224.0.0.22,OTHER,0.052734375,5.14984130859375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:22
208.95.112.1,208.95.112.1,192.168.31.51,TCP,0.056640625,5.53131103515625e-05,12,NORMAL,LOW,United States,US,Ashburn,🇺🇸,12:58:24
192.168.31.51,192.168.31.51,208.95.112.1,TCP,0.052734375,5.14984130859375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:24
192.168.31.51,192.168.31.51,208.95.112.1,TCP,0.21484375,0.000209808349609375,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:25
44.214.75.226,44.214.75.226,192.168.31.51,TCP,0.0830078125,8.106231689453125e-05,12,NORMAL,LOW,United States,US,Ashburn,🇺🇸,12:58:26
192.168.31.51,192.168.31.51,44.214.75.226,TCP,0.0869140625,8.487701416015625e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:26
208.95.112.1,208.95.112.1,192.168.31.51,TCP,0.5693359375,0.0005559921264648438,12,NORMAL,MEDIUM,United States,US,Ashburn,🇺🇸,12:58:26
192.168.31.51,192.168.31.51,208.95.112.1,TCP,0.052734375,5.14984130859375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:26
208.95.112.1,208.95.112.1,192.168.31.51,TCP,0.052734375,5.14984130859375e-05,12,NORMAL,LOW,United States,US,Ashburn,🇺🇸,12:58:27
192.168.31.51,192.168.31.51,208.95.112.1,TCP,0.052734375,5.14984130859375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:27
44.214.75.226,44.214.75.226,192.168.31.51,TCP,0.052734375,5.14984130859375e-05,12,NORMAL,LOW,United States,US,Ashburn,🇺🇸,12:58:27
192.168.31.51,192.168.31.51,208.95.112.1,TCP,0.064453125,6.29425048828125e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:28
192.168.31.51,192.168.31.51,224.0.0.22,OTHER,0.060546875,5.91278076171875e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:28
208.95.112.1,208.95.112.1,192.168.31.51,TCP,0.056640625,5.53131103515625e-05,12,NORMAL,LOW,United States,US,Ashburn,🇺🇸,12:58:28
192.168.31.51,192.168.31.51,208.95.112.1,TCP,0.052734375,5.14984130859375e-05,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:29
192.168.31.51,192.168.31.51,208.95.112.1,TCP,0.2138671875,0.00020885467529296875,12,NORMAL,LOW,Local Network,LN,Private,🏠,12:58:30
